Year,Gender,Age_Group,Number_of_Outgoing_People
2021,0,1,427333.1671
2021,0,10,777508.6357
2021,0,11,717323.4094
2021,0,12,516526.0797
2021,0,13,330317.8193
2021,0,14,229917.9313
2021,0,15,281642.5682
2021,0,16,254332.4099
2021,0,17,195971.8074
2021,0,18,411166.1853
2021,0,2,652081.7456
2021,0,3,382493.1002
2021,0,4,464104.4361
2021,0,5,1003583.08
2021,0,6,1313759.593
2021,0,7,1246507.153
2021,0,8,1008792.095
2021,0,9,742647.732
2021,1,1,404347.4566
2021,1,10,678129.3451
2021,1,11,609173.6916
2021,1,12,438117.2711
2021,1,13,281708.4254
2021,1,14,211514.1003
2021,1,15,290609.6042
2021,1,16,345352.3709
2021,1,17,366669.5383
2021,1,18,1245774.783
2021,1,2,623450.4414
2021,1,3,366302.6672
2021,1,4,414057.5698
2021,1,5,969328.3685
2021,1,6,1343327.961
2021,1,7,1261290.687
2021,1,8,980999.0962
2021,1,9,690673.6549
2022,0,1,427333.1671
2022,0,10,777508.6357
2022,0,11,717323.4094
2022,0,12,516526.0797
2022,0,13,330317.8193
2022,0,14,229917.9313
2022,0,15,281642.5682
2022,0,16,254332.4099
2022,0,17,195971.8074
2022,0,18,411166.1853
2022,0,2,652081.7456
2022,0,3,382493.1002
2022,0,4,464104.4361
2022,0,5,1003583.08
2022,0,6,1313759.593
2022,0,7,1246507.153
2022,0,8,1008792.095
2022,0,9,742647.732
2022,1,1,404347.4566
2022,1,10,678129.3451
2022,1,11,609173.6916
2022,1,12,438117.2711
2022,1,13,281708.4254
2022,1,14,211514.1003
2022,1,15,290609.6042
2022,1,16,345352.3709
2022,1,17,366669.5383
2022,1,18,1245774.783
2022,1,2,623450.4414
2022,1,3,366302.6672
2022,1,4,414057.5698
2022,1,5,969328.3685
2022,1,6,1343327.961
2022,1,7,1261290.687
2022,1,8,980999.0962
2022,1,9,690673.6549
2023,0,1,427333.1671
2023,0,10,777508.6357
2023,0,11,717323.4094
2023,0,12,516526.0797
2023,0,13,330317.8193
2023,0,14,229917.9313
2023,0,15,281642.5682
2023,0,16,254332.4099
2023,0,17,195971.8074
2023,0,18,411166.1853
2023,0,2,652081.7456
2023,0,3,382493.1002
2023,0,4,464104.4361
2023,0,5,1003583.08
2023,0,6,1313759.593
2023,0,7,1246507.153
2023,0,8,1008792.095
2023,0,9,742647.732
2023,1,1,404347.4566
2023,1,10,678129.3451
2023,1,11,609173.6916
2023,1,12,438117.2711
2023,1,13,281708.4254
2023,1,14,211514.1003
2023,1,15,290609.6042
2023,1,16,345352.3709
2023,1,17,366669.5383
2023,1,18,1245774.783
2023,1,2,623450.4414
2023,1,3,366302.6672
2023,1,4,414057.5698
2023,1,5,969328.3685
2023,1,6,1343327.961
2023,1,7,1261290.687
2023,1,8,980999.0962
2023,1,9,690673.6549
2024,0,1,427333.1671
2024,0,10,777508.6357
2024,0,11,717323.4094
2024,0,12,516526.0797
2024,0,13,330317.8193
2024,0,14,229917.9313
2024,0,15,281642.5682
2024,0,16,254332.4099
2024,0,17,195971.8074
2024,0,18,411166.1853
2024,0,2,652081.7456
2024,0,3,382493.1002
2024,0,4,464104.4361
2024,0,5,1003583.08
2024,0,6,1313759.593
2024,0,7,1246507.153
2024,0,8,1008792.095
2024,0,9,742647.732
2024,1,1,404347.4566
2024,1,10,678129.3451
2024,1,11,609173.6916
2024,1,12,438117.2711
2024,1,13,281708.4254
2024,1,14,211514.1003
2024,1,15,290609.6042
2024,1,16,345352.3709
2024,1,17,366669.5383
2024,1,18,1245774.783
2024,1,2,623450.4414
2024,1,3,366302.6672
2024,1,4,414057.5698
2024,1,5,969328.3685
2024,1,6,1343327.961
2024,1,7,1261290.687
2024,1,8,980999.0962
2024,1,9,690673.6549
2025,0,1,427333.1671
2025,0,10,777508.6357
2025,0,11,717323.4094
2025,0,12,516526.0797
2025,0,13,330317.8193
2025,0,14,229917.9313
2025,0,15,281642.5682
2025,0,16,254332.4099
2025,0,17,195971.8074
2025,0,18,411166.1853
2025,0,2,652081.7456
2025,0,3,382493.1002
2025,0,4,464104.4361
2025,0,5,1003583.08
2025,0,6,1313759.593
2025,0,7,1246507.153
2025,0,8,1008792.095
2025,0,9,742647.732
2025,1,1,404347.4566
2025,1,10,678129.3451
2025,1,11,609173.6916
2025,1,12,438117.2711
2025,1,13,281708.4254
2025,1,14,211514.1003
2025,1,15,290609.6042
2025,1,16,345352.3709
2025,1,17,366669.5383
2025,1,18,1245774.783
2025,1,2,623450.4414
2025,1,3,366302.6672
2025,1,4,414057.5698
2025,1,5,969328.3685
2025,1,6,1343327.961
2025,1,7,1261290.687
2025,1,8,980999.0962
2025,1,9,690673.6549
2026,0,1,417829.7905
2026,0,10,685845.4593
2026,0,11,613938.0685
2026,0,12,581192.907
2026,0,13,359871.9886
2026,0,14,241490.6549
2026,0,15,248052.2219
2026,0,16,217764.7845
2026,0,17,243193.3208
2026,0,18,489982.2091
2026,0,2,568856.8998
2026,0,3,340068.3943
2026,0,4,443213.6184
2026,0,5,965957.3017
2026,0,6,1261084.875
2026,0,7,1270244.738
2026,0,8,971795.4747
2026,0,9,668536.874
2026,1,1,395342.121
2026,1,10,599746.5164
2026,1,11,521026.5232
2026,1,12,488884.1751
2026,1,13,305132.8228
2026,1,14,220290.0647
2026,1,15,253588.4598
2026,1,16,292640.7577
2026,1,17,435356.4377
2026,1,18,1426150.783
2026,1,2,542764.6073
2026,1,3,326567.1789
2026,1,4,396147.6604
2026,1,5,940632.882
2026,1,6,1286606.103
2026,1,7,1284006.989
2026,1,8,933855.8997
2026,1,9,615025.1471
2027,0,1,417829.7905
2027,0,10,685845.4593
2027,0,11,613938.0685
2027,0,12,581192.907
2027,0,13,359871.9886
2027,0,14,241490.6549
2027,0,15,248052.2219
2027,0,16,217764.7845
2027,0,17,243193.3208
2027,0,18,489982.2091
2027,0,2,568856.8998
2027,0,3,340068.3943
2027,0,4,443213.6184
2027,0,5,965957.3017
2027,0,6,1261084.875
2027,0,7,1270244.738
2027,0,8,971795.4747
2027,0,9,668536.874
2027,1,1,395342.121
2027,1,10,599746.5164
2027,1,11,521026.5232
2027,1,12,488884.1751
2027,1,13,305132.8228
2027,1,14,220290.0647
2027,1,15,253588.4598
2027,1,16,292640.7577
2027,1,17,435356.4377
2027,1,18,1426150.783
2027,1,2,542764.6073
2027,1,3,326567.1789
2027,1,4,396147.6604
2027,1,5,940632.882
2027,1,6,1286606.103
2027,1,7,1284006.989
2027,1,8,933855.8997
2027,1,9,615025.1471
2028,0,1,417829.7905
2028,0,10,685845.4593
2028,0,11,613938.0685
2028,0,12,581192.907
2028,0,13,359871.9886
2028,0,14,241490.6549
2028,0,15,248052.2219
2028,0,16,217764.7845
2028,0,17,243193.3208
2028,0,18,489982.2091
2028,0,2,568856.8998
2028,0,3,340068.3943
2028,0,4,443213.6184
2028,0,5,965957.3017
2028,0,6,1261084.875
2028,0,7,1270244.738
2028,0,8,971795.4747
2028,0,9,668536.874
2028,1,1,395342.121
2028,1,10,599746.5164
2028,1,11,521026.5232
2028,1,12,488884.1751
2028,1,13,305132.8228
2028,1,14,220290.0647
2028,1,15,253588.4598
2028,1,16,292640.7577
2028,1,17,435356.4377
2028,1,18,1426150.783
2028,1,2,542764.6073
2028,1,3,326567.1789
2028,1,4,396147.6604
2028,1,5,940632.882
2028,1,6,1286606.103
2028,1,7,1284006.989
2028,1,8,933855.8997
2028,1,9,615025.1471
2029,0,1,417829.7905
2029,0,10,685845.4593
2029,0,11,613938.0685
2029,0,12,581192.907
2029,0,13,359871.9886
2029,0,14,241490.6549
2029,0,15,248052.2219
2029,0,16,217764.7845
2029,0,17,243193.3208
2029,0,18,489982.2091
2029,0,2,568856.8998
2029,0,3,340068.3943
2029,0,4,443213.6184
2029,0,5,965957.3017
2029,0,6,1261084.875
2029,0,7,1270244.738
2029,0,8,971795.4747
2029,0,9,668536.874
2029,1,1,395342.121
2029,1,10,599746.5164
2029,1,11,521026.5232
2029,1,12,488884.1751
2029,1,13,305132.8228
2029,1,14,220290.0647
2029,1,15,253588.4598
2029,1,16,292640.7577
2029,1,17,435356.4377
2029,1,18,1426150.783
2029,1,2,542764.6073
2029,1,3,326567.1789
2029,1,4,396147.6604
2029,1,5,940632.882
2029,1,6,1286606.103
2029,1,7,1284006.989
2029,1,8,933855.8997
2029,1,9,615025.1471
2030,0,1,417829.7905
2030,0,10,685845.4593
2030,0,11,613938.0685
2030,0,12,581192.907
2030,0,13,359871.9886
2030,0,14,241490.6549
2030,0,15,248052.2219
2030,0,16,217764.7845
2030,0,17,243193.3208
2030,0,18,489982.2091
2030,0,2,568856.8998
2030,0,3,340068.3943
2030,0,4,443213.6184
2030,0,5,965957.3017
2030,0,6,1261084.875
2030,0,7,1270244.738
2030,0,8,971795.4747
2030,0,9,668536.874
2030,1,1,395342.121
2030,1,10,599746.5164
2030,1,11,521026.5232
2030,1,12,488884.1751
2030,1,13,305132.8228
2030,1,14,220290.0647
2030,1,15,253588.4598
2030,1,16,292640.7577
2030,1,17,435356.4377
2030,1,18,1426150.783
2030,1,2,542764.6073
2030,1,3,326567.1789
2030,1,4,396147.6604
2030,1,5,940632.882
2030,1,6,1286606.103
2030,1,7,1284006.989
2030,1,8,933855.8997
2030,1,9,615025.1471
2031,0,1,414273.382
2031,0,10,617614.5217
2031,0,11,541894.34
2031,0,12,497829.95
2031,0,13,405480.2681
2031,0,14,263844.822
2031,0,15,261670.0392
2031,0,16,193167.4299
2031,0,17,209241.071
2031,0,18,606375.5213
2031,0,2,556267.9969
2031,0,3,296795.2496
2031,0,4,394638.4801
2031,0,5,925113.9858
2031,0,6,1216077.129
2031,0,7,1220251.367
2031,0,8,990402.9061
2031,0,9,644173.3727
2031,1,1,391971.3103
2031,1,10,534243.3294
2031,1,11,460968.3619
2031,1,12,418289.827
2031,1,13,340716.0221
2031,1,14,238897.3162
2031,1,15,264639.7974
2031,1,16,256320.5009
2031,1,17,370146.2998
2031,1,18,1680963.143
2031,1,2,530743.7221
2031,1,3,284458.7369
2031,1,4,353854.2621
2031,1,5,902739.8047
2031,1,6,1250011.989
2031,1,7,1230610.761
2031,1,8,950697.2358
2031,1,9,585625.3967
2032,0,1,414273.382
2032,0,10,617614.5217
2032,0,11,541894.34
2032,0,12,497829.95
2032,0,13,405480.2681
2032,0,14,263844.822
2032,0,15,261670.0392
2032,0,16,193167.4299
2032,0,17,209241.071
2032,0,18,606375.5213
2032,0,2,556267.9969
2032,0,3,296795.2496
2032,0,4,394638.4801
2032,0,5,925113.9858
2032,0,6,1216077.129
2032,0,7,1220251.367
2032,0,8,990402.9061
2032,0,9,644173.3727
2032,1,1,391971.3103
2032,1,10,534243.3294
2032,1,11,460968.3619
2032,1,12,418289.827
2032,1,13,340716.0221
2032,1,14,238897.3162
2032,1,15,264639.7974
2032,1,16,256320.5009
2032,1,17,370146.2998
2032,1,18,1680963.143
2032,1,2,530743.7221
2032,1,3,284458.7369
2032,1,4,353854.2621
2032,1,5,902739.8047
2032,1,6,1250011.989
2032,1,7,1230610.761
2032,1,8,950697.2358
2032,1,9,585625.3967
2033,0,1,414273.382
2033,0,10,617614.5217
2033,0,11,541894.34
2033,0,12,497829.95
2033,0,13,405480.2681
2033,0,14,263844.822
2033,0,15,261670.0392
2033,0,16,193167.4299
2033,0,17,209241.071
2033,0,18,606375.5213
2033,0,2,556267.9969
2033,0,3,296795.2496
2033,0,4,394638.4801
2033,0,5,925113.9858
2033,0,6,1216077.129
2033,0,7,1220251.367
2033,0,8,990402.9061
2033,0,9,644173.3727
2033,1,1,391971.3103
2033,1,10,534243.3294
2033,1,11,460968.3619
2033,1,12,418289.827
2033,1,13,340716.0221
2033,1,14,238897.3162
2033,1,15,264639.7974
2033,1,16,256320.5009
2033,1,17,370146.2998
2033,1,18,1680963.143
2033,1,2,530743.7221
2033,1,3,284458.7369
2033,1,4,353854.2621
2033,1,5,902739.8047
2033,1,6,1250011.989
2033,1,7,1230610.761
2033,1,8,950697.2358
2033,1,9,585625.3967
2034,0,1,414273.382
2034,0,10,617614.5217
2034,0,11,541894.34
2034,0,12,497829.95
2034,0,13,405480.2681
2034,0,14,263844.822
2034,0,15,261670.0392
2034,0,16,193167.4299
2034,0,17,209241.071
2034,0,18,606375.5213
2034,0,2,556267.9969
2034,0,3,296795.2496
2034,0,4,394638.4801
2034,0,5,925113.9858
2034,0,6,1216077.129
2034,0,7,1220251.367
2034,0,8,990402.9061
2034,0,9,644173.3727
2034,1,1,391971.3103
2034,1,10,534243.3294
2034,1,11,460968.3619
2034,1,12,418289.827
2034,1,13,340716.0221
2034,1,14,238897.3162
2034,1,15,264639.7974
2034,1,16,256320.5009
2034,1,17,370146.2998
2034,1,18,1680963.143
2034,1,2,530743.7221
2034,1,3,284458.7369
2034,1,4,353854.2621
2034,1,5,902739.8047
2034,1,6,1250011.989
2034,1,7,1230610.761
2034,1,8,950697.2358
2034,1,9,585625.3967
2035,0,1,414273.382
2035,0,10,617614.5217
2035,0,11,541894.34
2035,0,12,497829.95
2035,0,13,405480.2681
2035,0,14,263844.822
2035,0,15,261670.0392
2035,0,16,193167.4299
2035,0,17,209241.071
2035,0,18,606375.5213
2035,0,2,556267.9969
2035,0,3,296795.2496
2035,0,4,394638.4801
2035,0,5,925113.9858
2035,0,6,1216077.129
2035,0,7,1220251.367
2035,0,8,990402.9061
2035,0,9,644173.3727
2035,1,1,391971.3103
2035,1,10,534243.3294
2035,1,11,460968.3619
2035,1,12,418289.827
2035,1,13,340716.0221
2035,1,14,238897.3162
2035,1,15,264639.7974
2035,1,16,256320.5009
2035,1,17,370146.2998
2035,1,18,1680963.143
2035,1,2,530743.7221
2035,1,3,284458.7369
2035,1,4,353854.2621
2035,1,5,902739.8047
2035,1,6,1250011.989
2035,1,7,1230610.761
2035,1,8,950697.2358
2035,1,9,585625.3967
2036,0,1,397880.4
2036,0,10,595315.3583
2036,0,11,488211.6441
2036,0,12,439789.2384
2036,0,13,347724.029
2036,0,14,297823.9044
2036,0,15,286989.8778
2036,0,16,205002.2396
2036,0,17,187785.3209
2036,0,18,666237.5101
2036,0,2,551580.6782
2036,0,3,290250.1917
2036,0,4,345115.3878
2036,0,5,829935.2471
2036,0,6,1167143.603
2036,0,7,1177524.318
2036,0,8,951690.0947
2036,0,9,656645.4776
2036,1,1,376463.9865
2036,1,10,508840.3855
2036,1,11,410735.3048
2036,1,12,370210.3609
2036,1,13,291652.1554
2036,1,14,266980.391
2036,1,15,287495.8955
2036,1,16,268317.8332
2036,1,17,326520.7833
2036,1,18,1820994.995
2036,1,2,526263.8891
2036,1,3,278184.7047
2036,1,4,309070.7618
2036,1,5,813131.5071
2036,1,6,1201507.739
2036,1,7,1196152.4
2036,1,8,911412.4334
2036,1,9,596220.5469
2037,0,1,397880.4
2037,0,10,595315.3583
2037,0,11,488211.6441
2037,0,12,439789.2384
2037,0,13,347724.029
2037,0,14,297823.9044
2037,0,15,286989.8778
2037,0,16,205002.2396
2037,0,17,187785.3209
2037,0,18,666237.5101
2037,0,2,551580.6782
2037,0,3,290250.1917
2037,0,4,345115.3878
2037,0,5,829935.2471
2037,0,6,1167143.603
2037,0,7,1177524.318
2037,0,8,951690.0947
2037,0,9,656645.4776
2037,1,1,376463.9865
2037,1,10,508840.3855
2037,1,11,410735.3048
2037,1,12,370210.3609
2037,1,13,291652.1554
2037,1,14,266980.391
2037,1,15,287495.8955
2037,1,16,268317.8332
2037,1,17,326520.7833
2037,1,18,1820994.995
2037,1,2,526263.8891
2037,1,3,278184.7047
2037,1,4,309070.7618
2037,1,5,813131.5071
2037,1,6,1201507.739
2037,1,7,1196152.4
2037,1,8,911412.4334
2037,1,9,596220.5469
2038,0,1,397880.4
2038,0,10,595315.3583
2038,0,11,488211.6441
2038,0,12,439789.2384
2038,0,13,347724.029
2038,0,14,297823.9044
2038,0,15,286989.8778
2038,0,16,205002.2396
2038,0,17,187785.3209
2038,0,18,666237.5101
2038,0,2,551580.6782
2038,0,3,290250.1917
2038,0,4,345115.3878
2038,0,5,829935.2471
2038,0,6,1167143.603
2038,0,7,1177524.318
2038,0,8,951690.0947
2038,0,9,656645.4776
2038,1,1,376463.9865
2038,1,10,508840.3855
2038,1,11,410735.3048
2038,1,12,370210.3609
2038,1,13,291652.1554
2038,1,14,266980.391
2038,1,15,287495.8955
2038,1,16,268317.8332
2038,1,17,326520.7833
2038,1,18,1820994.995
2038,1,2,526263.8891
2038,1,3,278184.7047
2038,1,4,309070.7618
2038,1,5,813131.5071
2038,1,6,1201507.739
2038,1,7,1196152.4
2038,1,8,911412.4334
2038,1,9,596220.5469
2039,0,1,397880.4
2039,0,10,595315.3583
2039,0,11,488211.6441
2039,0,12,439789.2384
2039,0,13,347724.029
2039,0,14,297823.9044
2039,0,15,286989.8778
2039,0,16,205002.2396
2039,0,17,187785.3209
2039,0,18,666237.5101
2039,0,2,551580.6782
2039,0,3,290250.1917
2039,0,4,345115.3878
2039,0,5,829935.2471
2039,0,6,1167143.603
2039,0,7,1177524.318
2039,0,8,951690.0947
2039,0,9,656645.4776
2039,1,1,376463.9865
2039,1,10,508840.3855
2039,1,11,410735.3048
2039,1,12,370210.3609
2039,1,13,291652.1554
2039,1,14,266980.391
2039,1,15,287495.8955
2039,1,16,268317.8332
2039,1,17,326520.7833
2039,1,18,1820994.995
2039,1,2,526263.8891
2039,1,3,278184.7047
2039,1,4,309070.7618
2039,1,5,813131.5071
2039,1,6,1201507.739
2039,1,7,1196152.4
2039,1,8,911412.4334
2039,1,9,596220.5469
2040,0,1,397880.4
2040,0,10,595315.3583
2040,0,11,488211.6441
2040,0,12,439789.2384
2040,0,13,347724.029
2040,0,14,297823.9044
2040,0,15,286989.8778
2040,0,16,205002.2396
2040,0,17,187785.3209
2040,0,18,666237.5101
2040,0,2,551580.6782
2040,0,3,290250.1917
2040,0,4,345115.3878
2040,0,5,829935.2471
2040,0,6,1167143.603
2040,0,7,1177524.318
2040,0,8,951690.0947
2040,0,9,656645.4776
2040,1,1,376463.9865
2040,1,10,508840.3855
2040,1,11,410735.3048
2040,1,12,370210.3609
2040,1,13,291652.1554
2040,1,14,266980.391
2040,1,15,287495.8955
2040,1,16,268317.8332
2040,1,17,326520.7833
2040,1,18,1820994.995
2040,1,2,526263.8891
2040,1,3,278184.7047
2040,1,4,309070.7618
2040,1,5,813131.5071
2040,1,6,1201507.739
2040,1,7,1196152.4
2040,1,8,911412.4334
2040,1,9,596220.5469
2041,0,1,375432.6416
2041,0,10,607017.7374
2041,0,11,470837.8918
2041,0,12,396511.2757
2041,0,13,307589.4396
2041,0,14,255857.3785
2041,0,15,324718.529
2041,0,16,226029.5707
2041,0,17,201228.6214
2041,0,18,656238.7474
2041,0,2,529806.8387
2041,0,3,287808.929
2041,0,4,337519.9237
2041,0,5,728601.6897
2041,0,6,1048888.338
2041,0,7,1130570.924
2041,0,8,918583.2513
2041,0,9,631097.0489
2041,1,1,355222.8852
2041,1,10,518110.0958
2041,1,11,391328.407
2041,1,12,329979.2729
2041,1,13,258268.5648
2041,1,14,228707.239
2041,1,15,321658.0872
2041,1,16,292263.597
2041,1,17,343786.5477
2041,1,18,1805932.342
2041,1,2,505498.3475
2041,1,3,275839.4048
2041,1,4,302259.9534
2041,1,5,713706.4638
2041,1,6,1083695.978
2041,1,7,1150068.022
2041,1,8,886035.8836
2041,1,9,571658.2375
2042,0,1,375432.6416
2042,0,10,607017.7374
2042,0,11,470837.8918
2042,0,12,396511.2757
2042,0,13,307589.4396
2042,0,14,255857.3785
2042,0,15,324718.529
2042,0,16,226029.5707
2042,0,17,201228.6214
2042,0,18,656238.7474
2042,0,2,529806.8387
2042,0,3,287808.929
2042,0,4,337519.9237
2042,0,5,728601.6897
2042,0,6,1048888.338
2042,0,7,1130570.924
2042,0,8,918583.2513
2042,0,9,631097.0489
2042,1,1,355222.8852
2042,1,10,518110.0958
2042,1,11,391328.407
2042,1,12,329979.2729
2042,1,13,258268.5648
2042,1,14,228707.239
2042,1,15,321658.0872
2042,1,16,292263.597
2042,1,17,343786.5477
2042,1,18,1805932.342
2042,1,2,505498.3475
2042,1,3,275839.4048
2042,1,4,302259.9534
2042,1,5,713706.4638
2042,1,6,1083695.978
2042,1,7,1150068.022
2042,1,8,886035.8836
2042,1,9,571658.2375
2043,0,1,375432.6416
2043,0,10,607017.7374
2043,0,11,470837.8918
2043,0,12,396511.2757
2043,0,13,307589.4396
2043,0,14,255857.3785
2043,0,15,324718.529
2043,0,16,226029.5707
2043,0,17,201228.6214
2043,0,18,656238.7474
2043,0,2,529806.8387
2043,0,3,287808.929
2043,0,4,337519.9237
2043,0,5,728601.6897
2043,0,6,1048888.338
2043,0,7,1130570.924
2043,0,8,918583.2513
2043,0,9,631097.0489
2043,1,1,355222.8852
2043,1,10,518110.0958
2043,1,11,391328.407
2043,1,12,329979.2729
2043,1,13,258268.5648
2043,1,14,228707.239
2043,1,15,321658.0872
2043,1,16,292263.597
2043,1,17,343786.5477
2043,1,18,1805932.342
2043,1,2,505498.3475
2043,1,3,275839.4048
2043,1,4,302259.9534
2043,1,5,713706.4638
2043,1,6,1083695.978
2043,1,7,1150068.022
2043,1,8,886035.8836
2043,1,9,571658.2375
2044,0,1,375432.6416
2044,0,10,607017.7374
2044,0,11,470837.8918
2044,0,12,396511.2757
2044,0,13,307589.4396
2044,0,14,255857.3785
2044,0,15,324718.529
2044,0,16,226029.5707
2044,0,17,201228.6214
2044,0,18,656238.7474
2044,0,2,529806.8387
2044,0,3,287808.929
2044,0,4,337519.9237
2044,0,5,728601.6897
2044,0,6,1048888.338
2044,0,7,1130570.924
2044,0,8,918583.2513
2044,0,9,631097.0489
2044,1,1,355222.8852
2044,1,10,518110.0958
2044,1,11,391328.407
2044,1,12,329979.2729
2044,1,13,258268.5648
2044,1,14,228707.239
2044,1,15,321658.0872
2044,1,16,292263.597
2044,1,17,343786.5477
2044,1,18,1805932.342
2044,1,2,505498.3475
2044,1,3,275839.4048
2044,1,4,302259.9534
2044,1,5,713706.4638
2044,1,6,1083695.978
2044,1,7,1150068.022
2044,1,8,886035.8836
2044,1,9,571658.2375
2045,0,1,375432.6416
2045,0,10,607017.7374
2045,0,11,470837.8918
2045,0,12,396511.2757
2045,0,13,307589.4396
2045,0,14,255857.3785
2045,0,15,324718.529
2045,0,16,226029.5707
2045,0,17,201228.6214
2045,0,18,656238.7474
2045,0,2,529806.8387
2045,0,3,287808.929
2045,0,4,337519.9237
2045,0,5,728601.6897
2045,0,6,1048888.338
2045,0,7,1130570.924
2045,0,8,918583.2513
2045,0,9,631097.0489
2045,1,1,355222.8852
2045,1,10,518110.0958
2045,1,11,391328.407
2045,1,12,329979.2729
2045,1,13,258268.5648
2045,1,14,228707.239
2045,1,15,321658.0872
2045,1,16,292263.597
2045,1,17,343786.5477
2045,1,18,1805932.342
2045,1,2,505498.3475
2045,1,3,275839.4048
2045,1,4,302259.9534
2045,1,5,713706.4638
2045,1,6,1083695.978
2045,1,7,1150068.022
2045,1,8,886035.8836
2045,1,9,571658.2375
