variable,mean,std
AREA,687923.0648,1649794.216
popdens_ha,40.63395832,32.71406749
Z‘î’n‰¿,62610.83385,35195.29393
akiya_count,9.219471947,13.87927941
min_dist2sta_noLRT,2877.706369,2703.65886
dist2Utu,4783.355893,3175.615186
farea_residence,16080.51211,28133.16417
farea_shop,948.0360963,1439.716805
transit40farea_shop,221235.4473,140065.4047
car5farea_shop,97047.69524,95825.83688
j_senyo,0.179867987,0.384394747
j_tiki,0.310231023,0.46297023
s_tiki,0.123762376,0.32958231
V0,0.532592819,0.705241109
V1,0.04259326,0.332011097
V2,0.367742347,0.196746493
V3,-0.035749375,0.248284263
lgsm,1.664336818,0.397893848
